run_id,run_timestamp_utc,model,division,trial_index,random_state,years,brier_pooled,logloss_pooled,is_best_in_division_run,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,brier_year_2022,brier_year_2023,brier_year_2024,brier_year_2025
d6faa063cc014c209025e4913f089d8f,2026-02-28T23:04:36.024336+00:00,xgboost,men,1,42,2022|2023|2024|2025,0.1952384859323501,0.5764882946513387,True,243,0.0410700971,7,11.8712207371,0.8789472116,0.6376709392,3.068383032,0.0708365364,4.9396092131,0.2167410850524902,0.2125056982040405,0.194440558552742,0.1572665274143219
d6faa063cc014c209025e4913f089d8f,2026-02-28T23:04:36.024336+00:00,xgboost,men,2,42,2022|2023|2024|2025,0.2017681896686554,0.5944471498141078,False,689,0.0426199094,2,1.9634085769,0.9707059955,0.857546048,0.143607987,9.78876e-05,0.0116892847,0.2277388274669647,0.2226889282464981,0.20499187707901,0.1516531407833099
d6faa063cc014c209025e4913f089d8f,2026-02-28T23:04:36.024336+00:00,xgboost,women,1,43,2022|2023|2024|2025,0.1535303443670272,0.456659921785998,False,681,0.0115131795,6,0.5383424221,0.935685033,0.834857219,9.01e-07,0.0583620376,0.017341303,0.1656171530485153,0.2179971933364868,0.1300404220819473,0.1004666462540626
d6faa063cc014c209025e4913f089d8f,2026-02-28T23:04:36.024336+00:00,xgboost,women,2,43,2022|2023|2024|2025,0.1498068273067474,0.4406684685695177,True,437,0.0427085494,4,16.9606023041,0.9567606677,0.7114532102,2.6483e-06,6.28053e-05,0.0010451078,0.174443244934082,0.1901764869689941,0.1189467310905456,0.1156609058380127
eb2c2cbdb5a047ae8adcc1e538ad105a,2026-02-28T23:04:36.463769+00:00,xgboost,men,1,42,2022|2023|2024|2025,0.1952384859323501,0.5764882946513387,True,243,0.0410700971,7,11.8712207371,0.8789472116,0.6376709392,3.068383032,0.0708365364,4.9396092131,0.2167410850524902,0.2125056982040405,0.194440558552742,0.1572665274143219
eb2c2cbdb5a047ae8adcc1e538ad105a,2026-02-28T23:04:36.463769+00:00,xgboost,men,2,42,2022|2023|2024|2025,0.2017681896686554,0.5944471498141078,False,689,0.0426199094,2,1.9634085769,0.9707059955,0.857546048,0.143607987,9.78876e-05,0.0116892847,0.2277388274669647,0.2226889282464981,0.20499187707901,0.1516531407833099
eb2c2cbdb5a047ae8adcc1e538ad105a,2026-02-28T23:04:36.463769+00:00,xgboost,women,1,43,2022|2023|2024|2025,0.1535303443670272,0.456659921785998,False,681,0.0115131795,6,0.5383424221,0.935685033,0.834857219,9.01e-07,0.0583620376,0.017341303,0.1656171530485153,0.2179971933364868,0.1300404220819473,0.1004666462540626
eb2c2cbdb5a047ae8adcc1e538ad105a,2026-02-28T23:04:36.463769+00:00,xgboost,women,2,43,2022|2023|2024|2025,0.1498068273067474,0.4406684685695177,True,437,0.0427085494,4,16.9606023041,0.9567606677,0.7114532102,2.6483e-06,6.28053e-05,0.0010451078,0.174443244934082,0.1901764869689941,0.1189467310905456,0.1156609058380127
d4ba31ab2e3d4f539c05ee2630cf4028,2026-02-28T23:05:13.505109+00:00,xgboost,men,1,42,2022|2023|2024|2025,0.1952384859323501,0.5764882946513387,True,243,0.0410700971,7,11.8712207371,0.8789472116,0.6376709392,3.068383032,0.0708365364,4.9396092131,0.2167410850524902,0.2125056982040405,0.194440558552742,0.1572665274143219
d4ba31ab2e3d4f539c05ee2630cf4028,2026-02-28T23:05:13.505109+00:00,xgboost,men,2,42,2022|2023|2024|2025,0.2017681896686554,0.5944471498141078,False,689,0.0426199094,2,1.9634085769,0.9707059955,0.857546048,0.143607987,9.78876e-05,0.0116892847,0.2277388274669647,0.2226889282464981,0.20499187707901,0.1516531407833099
d4ba31ab2e3d4f539c05ee2630cf4028,2026-02-28T23:05:13.505109+00:00,xgboost,women,1,43,2022|2023|2024|2025,0.1535303443670272,0.456659921785998,False,681,0.0115131795,6,0.5383424221,0.935685033,0.834857219,9.01e-07,0.0583620376,0.017341303,0.1656171530485153,0.2179971933364868,0.1300404220819473,0.1004666462540626
d4ba31ab2e3d4f539c05ee2630cf4028,2026-02-28T23:05:13.505109+00:00,xgboost,women,2,43,2022|2023|2024|2025,0.1498068273067474,0.4406684685695177,True,437,0.0427085494,4,16.9606023041,0.9567606677,0.7114532102,2.6483e-06,6.28053e-05,0.0010451078,0.174443244934082,0.1901764869689941,0.1189467310905456,0.1156609058380127
10cf2a3685cb4e6b84444c2ee6b6b8fb,2026-02-28T23:05:26.430876+00:00,xgboost,men,1,42,2022|2023|2024|2025,0.1952384859323501,0.5764882946513387,True,243,0.0410700971,7,11.8712207371,0.8789472116,0.6376709392,3.068383032,0.0708365364,4.9396092131,0.2167410850524902,0.2125056982040405,0.194440558552742,0.1572665274143219
